"SuperClass","Class","Order","Family","Genus.species","SpecCode","BEl","VEp","REs","OGp","RMl","BLs","PFv","PFs","CPt","MBl","RMn","RMx","TLl","FHa","EHl","LHa","WLa","PCr","REp","EGt"
"Osteichthyes","Teleostei","Cypriniformes","Botiidae","Leptobotia_citrauratea",69535,5.86065573770492,0.524590163934426,0.147058823529412,0.469945355191257,0.409313575729666,0.650273224043716,0.275956284153005,0.159553661543433,2.08239700374532,6.53000020980835,6.9770637996123,628.837338480268,3.1800000667572,"2","0","1","3","1","3","1"
"Osteichthyes","Teleostei","Cypriniformes","Botiidae","Leptobotia_micra",68642,6.51524390243902,0.530487804878049,0.253218884120172,0.225609756097561,0.558352439109773,0.710365853658537,0.100609756097561,0.153554660192746,1.73308270676692,5.01999998092651,7.09628980153752,650.320591415425,3.15000009536743,"2","0","1","3","1","3","1"
"Osteichthyes","Teleostei","Cypriniformes","Botiidae","Leptobotia_aff.Bellacauda",NA,5.82775119617225,0.416267942583732,0.236286919831224,0.586124401913876,0.409282700421941,0.566985645933014,0.23444976076555,0.128168256423091,1.29184549356223,13.67508494875,6.7568824744517,596.520147831727,3.2562031605707,"2","0","1","3","1","2","1"
"Osteichthyes","Teleostei","Cypriniformes","Botiidae","Leptobotia_taeniops",60442,4.14925373134328,0.41044776119403,0.117424242424242,0.235074626865672,0.473484848484849,0.492537313432836,0.16044776119403,0.201961079545689,1.65705128205128,22.7999992370605,6.42519094474631,525.968842803029,3.3199999332428,"2","0","2","3","1","4","1"
"Osteichthyes","Teleostei","Cypriniformes","Botiidae","Parabotia_fasciatus",54998,5.59803921568627,0.382352941176471,0.246575342465753,0.220588235294118,0.411315484570695,0.715686274509804,0.0392156862745099,0.138351687009152,2.09708737864078,18.7999992370605,6.30668696693383,496.8665784015,3.3199999332428,"2","1","1","3","1","3","1"
"Osteichthyes","Teleostei","Cypriniformes","Botiidae","Parabotia_banarescui",59575,5.96918767507003,0.453781512605042,0.219251336898396,0.274509803921569,0.974055033344738,0.523809523809524,0.184873949579832,0.134141181734404,1.97747747747748,21.3999996185303,6.30668696693383,496.8665784015,3.30999994277954,"2","0","1","3","1","3","1"
"Osteichthyes","Teleostei","Cypriniformes","Botiidae","Parabotia_lijiangensis",60507,4.57427937915743,0.452328159645233,0.238636363636364,0.443458980044346,0.700020086947792,0.585365853658537,0.24390243902439,0.160902940451301,1.45967741935484,17.2146695590471,6.42519094474631,525.968842803029,3.29999995231628,"2","0","1","3","1","3","1"
"Osteichthyes","Teleostei","Cypriniformes","Botiidae","Parabotia_kiangsiensis",66157,4.1859649122807,0.335087719298246,0.214521452145215,0.389473684210526,0.606731366346716,0.531578947368421,0.268421052631579,0.183893969359986,1.83425414364641,17.6639546629488,6.42519094474631,525.968842803029,3.29999995231628,"2","0","1","3","1","3","1"
"Osteichthyes","Teleostei","Cypriniformes","Botiidae","Parabotia_maculosus",60421,7.26315789473684,0.503289473684211,0.240196078431373,0.427631578947368,0.534313725490196,0.671052631578947,0.233552631578947,0.139886279089497,1.93604651162791,20,6.36538148388541,511.208377370664,3.29999995231628,"2","0","1","3","1","6","1"
"Osteichthyes","Teleostei","Cypriniformes","Cobitidae","Cobitis_sinensis",47864,7.82474226804124,0.560137457044674,0.152073732718894,0.34020618556701,1.06921380525788,0.745704467353952,0.439862542955326,0.214206361745744,1.33519553072626,15.3000001907349,6.48619043412999,541.182287382556,3.27999997138977,"2","0","1","3","1","3","2"
"Osteichthyes","Teleostei","Cypriniformes","Cobitidae","Cobitis_macrostigma",54728,8.76530612244898,0.629251700680272,0.148514851485149,0.574829931972789,0.698774256974015,0.687074829931973,0.27891156462585,0.125212130283656,1.29608938547486,13.7399997711182,6.42519094474631,525.968842803029,3.28999996185303,"2","0","2","3","1","3","2"
"Osteichthyes","Teleostei","Cypriniformes","Cobitidae","Cobitis_crassicauda",67352,5.64746543778802,0.460829493087558,0.228136882129278,0.124423963133641,0.586538104890453,0.605990783410138,0.133640552995392,0.137924622702249,0.538461538461538,9.55000019073486,6.74368327687781,607.352211984254,3.24000000953674,"2","0","1","3","1","3","2"
"Osteichthyes","Teleostei","Cypriniformes","Cobitidae","Cobitis_fasciola",67351,7.31172839506173,0.641975308641975,0.184313725490196,0.179012345679012,0.637493168126467,0.787037037037037,0.0679012345679011,0.0948143632563156,0.954802259887006,10.5799999237061,6.67711942207994,589.927180041848,3.25,"2","0","1","3","1","3","2"
"Osteichthyes","Teleostei","Cypriniformes","Cobitidae","Cobitis_stenocauda",67354,6.8361581920904,0.480225988700565,0.26046511627907,0.31638418079096,0.51995340307927,0.607344632768362,0.23728813559322,0.112787967470712,0.440860215053763,9.19999980926514,6.8118528731005,625.441696704287,3.23000001907349,"2","0","1","3","1","3","2"
"Osteichthyes","Teleostei","Cypriniformes","Cobitidae","Cobitis_xinjiangensis",NA,8.19031141868512,0.626297577854671,0.236286919831224,0.366782006920415,0.697122522177941,0.820069204152249,0.110726643598616,0.115668880159849,2.37823834196891,10.9792255567446,7.09832923067912,679.271704624252,3.20370321658966,"2","0","1","3","1","3","2"
