"Basin","Species","Delta_FRic","Delta_FEve","Delta_FDiv","Delta_FRed"
"1","Tachysurus_ussuriensi",1.24164021483734e-06,-0.00093502048471289,-0.000280980418921439,0.111553503504663
"1","Tachysurus_argentivittatus",2.62664364881178e-05,0.000389648249777219,-0.000475728868704395,0.0524944182620963
"1","Hemibagrus_macropterus",3.39236116612872e-05,0.000839954373403784,0.000814724034566727,0.010994009797006
"1","Glyptothorax_sinensis",8.75549215962408e-05,0.000197802572619865,-0.00531473647208425,-0.0306714779399995
"1","Liobagrus_anguillicauda",1.23194427464769e-05,-0.000125798079863015,0.00157336299419086,0.0283592480866695
"1","Liobagrus_aequilabris",3.00301481644347e-05,5.5126819689888e-05,0.000422890551044164,0.0103343264475546
"1","Silurus_asotus",4.65881382633327e-06,-0.000742325374805841,-0.00257087812820234,0.115198341545958
"1","Silurus_meridionalis",1.36382651173796e-05,0.000510217859768181,-0.00101587002675885,0.0327991509177723
"1","Clarias_fuscus",7.04115759180643e-05,0.000625911540220236,0.000429458154400764,0.00743211540462418
"1","Neosalanx_jordani",2.47033433180615e-05,0.000535173769046882,0.00140561528879868,0.013295194664364
"1","Neosalanx_tangkahkeii",1.36415007329659e-05,0.00147739814324904,5.11768386757261e-06,0.00868606435948838
"1","Protosalanx_chinensis",4.33450698545673e-05,0.000553448478977758,0.00124660085797768,0.00761190666695466
"1","Hemisalanx_brachyrostralis",2.31212363620316e-05,-8.10590577514647e-05,0.00108757438172968,0.0118034886284395
"1","Mugil_cephalus",5.70784402570467e-05,0.00128704473024649,0.0024528599187561,-0.0155524615369238
"1","Hyporhamphus_intermedius",0.000117137064245276,0.000184106631147485,0.0025136486892765,-0.0393253441870609
"1","Oryzias_sinensis",3.0624956103853e-05,0.000178393493683759,0.000994028536967062,0.00594384141162774
"1","Monopterus_albus",8.55816687065759e-05,0.000342242396064396,0.00117823691351071,-0.0259329015224612
"1","Sinobdella_sinensis",1.14435361585907e-06,-0.0010156550031663,-0.00211027944494002,0.178852504659631
"1","Siniperca_roulei",3.79330483460099e-07,-0.000435810403043468,0.00149853598329908,0.0213107512678565
"1","Siniperca_chuatsi",2.14430061744252e-05,-0.000350292170608724,0.00160611249746734,0.0140804633326939
"1","Siniperca_knerii",3.07717585278718e-05,-1.9342264229727e-06,0.000871568418135404,-0.00721249796915036
"1","Siniperca_scherzeri",5.31725796263184e-05,0.000147769977616952,0.00129218190669833,-0.0112260944013354
"1","Siniperca_obscura",2.14403522425398e-05,-0.000261407694417237,0.00128168613979895,0.013408936973935
"1","Siniperca_undulata",4.33812433097181e-06,-0.000308766278808548,0.000747741449334538,0.0272347401971045
"1","Odontobutis_sinensis",1.6472555305326e-07,-0.001155282125127,-0.00161531756426792,0.209826364478428
"1","Micropercops_cinctus",1.21640968431009e-06,-0.00102874448399637,-0.000694656471530664,0.18317184288775
"1","Rhinogobius_similis",2.70926454748069e-06,-0.000575428455415194,0.00152918509004107,0.0848547275516731
"1","Rhinogobius_cliffordpopei",2.67171686458654e-05,-7.46329772777221e-05,0.000275825818254805,0.0391646958316505
"1","Mugilogobius_myxodermus",6.3887047976273e-07,-0.00107414953077634,-0.00243103642711118,0.202003620739029
"1","Macropodus_ocellatus",0.000118973948662307,1.12477707359115e-05,-0.00145745041064527,-0.041561946825734
"1","Macropodus_opercularis",0.000136080321070244,-0.000521486226008339,0.00128195887094817,-0.0446970397444959
"1","Channa_orientalis",0.000133241777320235,-0.000329090696635448,0.00168571510967042,-0.0445763846494636
"1","Cynoglossus_cynoglossus",9.59074996338557e-05,0.000575455966552396,-3.50399910309385e-05,-0.0358797118258529
"1","Takifugu_obscurus",2.36021070065329e-05,0.00133962087173617,-0.000539929973100706,-0.00953099351727715
"1","Takifugu_ocellatus",5.30182153141877e-05,0.000883495607263307,0.000367525847953187,-0.0225483856429314
"2","Acipenser_sinensis",0.000133526038873826,-0.000537104774984809,-0.000416575140792519,-0.0684975645392232
"2","Anguilla_japonica",0.000138863023184966,-0.000665870451489026,-0.00223804993598653,-0.0687561202720577
"2","Tenualosa_reevesii",2.56045895021689e-05,0.00124302697348183,-0.000732718779566599,-0.043595447759321
"2","Coilia_brachygnathus",8.56860082204277e-06,0.000391677644850541,-0.000581905736175226,-0.0376645156526454
"2","Myxocyprinus_asiaticus",5.03556308837055e-07,-0.000658305031993989,-0.00123215030605128,0.211030702268106
"2","Lepturichthys_fimbriatus",4.98066668909657e-09,-0.000717640772688988,-0.000634419665352381,0.117902384387719
"2","Lepturichthys_dolichopterus",3.93509023669936e-07,-0.000529865532455376,-0.000570838570798982,0.0862365704373911
"2","Leptobotia_hengyangensis",2.59576351533938e-07,-0.000635935526845988,-0.000900270479759047,0.101439431305723
"2","Leptobotia_citrauratea",2.91314468465188e-07,-0.000689257840447932,-0.000451409366834743,0.121369767615356
"2","Leptobotia_micra",7.61787516812624e-07,-0.0005213283304219,-0.00020404758806214,0.126802853830608
"2","Leptobotia_aff.Bellacauda",2.89678483056361e-07,-0.000664322360153569,-0.000668397500504181,0.103803109148194
"2","Leptobotia_taeniops",5.03447606695447e-05,0.000327030760156555,-0.000267092219259246,0.0147942045993243
"2","Parabotia_fasciatus",6.71735608864506e-06,0.000344265715708392,-0.000591197020790135,-0.0385847080475017
"2","Parabotia_banarescui",2.5768587950596e-07,-0.000683032774699777,-0.000727084844878934,0.117160708661469
"2","Parabotia_lijiangensis",6.62392314418537e-08,-0.000700514230153604,-0.000816906092861558,0.118786724226695
"2","Parabotia_kiangsiensis",4.95667223643377e-07,-0.000667156102270416,-0.00118962235509568,0.116717591842377
"2","Parabotia_maculosus",7.05655039674193e-07,-0.000568364269389721,-0.000249328417439076,0.109549193877598
"2","Cobitis_sinensis",1.05145509329959e-05,-0.000363515360561173,-0.000348534093098651,0.126723559530703
