Genus.species,SpecCode,SEI,IUCN_cn,IUCN
Gobiobotia_meridionalis,65251,0.282026519,NT,DD
Gobiobotia_tungi,55896,0.351949298,DD,DD
Gobiobotia_jiangxiensis,58354,0.918767984,DD,VU
Gobiobotia_kolleri,54988,0.525632855,DD,DD
Rhynchocypris_oxycephala,48140,0.152493882,LC,NE
Tachysurus_sinensis,58672,0,LC,LC
Tachysurus_eupogon,NA,0.220750815,LC,NE
Tachysurus_vachellii,50950,0.035938509,LC,DD
Tachysurus_nitidus,50943,0.035938509,LC,LC
Tachysurus_dumerili,50980,0.277878999,NT,DD
Tachysurus_crassilabris,55077,0.105861288,LC,NE
Tachysurus_torosilabris,NA,0.69511796,DD,NE
Tachysurus_analis,50919,0.108018928,DD,NE
Tachysurus_tenuis,50762,0.394434372,DD,NE
Tachysurus_ussuriensi,NA,0.038096149,LC,LC
Tachysurus_aff.Truncatus,NA,0.351949298,DD,NE
Tachysurus_argentivittatus,50965,0.37033054,DD,LC
Tachysurus_ondan,NA,0.247171285,LC,LC
Hemibagrus_macropterus,52976,0,LC,LC
Glyptothorax_sinensis,24874,0.108018928,LC,DD
Liobagrus_anguillicauda,50990,0.115972802,LC,LC
Liobagrus_aequilabris,64276,0.299210038,LC,LC
Silurus_asotus,6566,0,LC,LC
Silurus_meridionalis,25308,0.021946192,LC,LC
Clarias_fuscus,293,0.069922779,LC,LC
Neosalanx_jordani,47135,0.394434372,NE,LC
Neosalanx_tangkahkeii,54884,0.301982831,DD,LC
Protosalanx_chinensis,60010,0.868801517,DD,DD
Hemisalanx_brachyrostralis,55416,0.69511796,VU,NE
Mugil_cephalus,785,0.778015822,DD,LC
Hyporhamphus_intermedius,12985,0.105861288,LC,LC
Oryzias_sinensis,52632,0.220750815,NT,LC
Gambusia_affinis,3215,0.525632855,DD,LC
Monopterus_albus,4663,0,LC,LC
Sinobdella_sinensis,52400,0.094026611,LC,LC
Mastacembelus_armatus,10140,0.422454647,LC,LC
Siniperca_roulei,55428,0.126724204,NT,DD
Siniperca_chuatsi,28054,0.013992318,LC,LC
Siniperca_knerii,55170,0.069922779,LC,DD
Siniperca_scherzeri,55171,0.083915096,LC,DD
Siniperca_obscura,52749,0.060042341,NT,LC
Siniperca_undulata,55172,0.060042341,NT,NT
Odontobutis_potamophilus,59098,0.339622826,LC,DD
Odontobutis_sinensis,61585,0.046050024,LC,NE
Micropercops_cinctus,4695,0.024103832,LC,LC
Rhinogobius_similis,23114,0.024103832,LC,NE
Rhinogobius_cliffordpopei,60226,0,LC,NE
Rhinogobius_wuyiensis,64013,0.918767984,DD,NT
Rhinogobius_davidi,54774,0.930077221,DD,NE
Rhinogobius_niger,NA,0.918767984,DD,NE
Mugilogobius_myxodermus,55202,0.394434372,DD,NE
Macropodus_ocellatus,4795,0.024103832,NT,LC
Macropodus_opercularis,4777,0.024103832,NT,LC
Channa_orientalis,5143,0.035938509,LC,VU
Channa_maculata,8701,0.342395619,LC,LC
Channa_asiatica,7756,0.318291787,LC,LC
Cynoglossus_cynoglossus,5456,0.37033054,NE,LC
Takifugu_obscurus,24264,0.198312829,LC,LC
Takifugu_ocellatus,55081,0.37033054,LC,NT
